코드,회사명,통합순위,z_total_score,growth_score_z,z_mom_score,1개월 등락률 (%),3개월 등락률 (%),6개월 등락률 (%),9개월 등락률 (%),1년 등락률 (%)
A000660,SK하이닉스,1,5.2880398712597945,8.558221150625517,2.017858591894071,21.33,71.18,142.65,271.57,295.44
A049630,재영솔루텍,2,4.210862302530358,0.04472739580464635,8.37699720925607,131.16,488.17,471.26,639.58,642.9
A458870,씨어스테크놀로지,3,4.200426853948509,2.9394092052635137,5.461444502633503,-4.65,76.58,362.9,876.95,971.49
A005930,삼성전자,4,4.047629943771398,6.981996795644575,1.1132630918982207,24.27,44.38,111.35,129.06,140.64
A055550,신한지주,5,3.646624547974033,7.355274823919104,-0.062025727971038565,-5.9,7.28,24.15,62.81,60.42
A319400,현대무벡스,6,2.90152899745463,-0.10241612265422316,5.905474117563483,137.95,172.1,332.48,606.41,581.03
A108490,로보티즈,7,2.4326786402846343,-0.07030335790613312,4.935660638475402,7.8,71.88,299.92,736.07,944.33
A402340,SK스퀘어,8,2.4129474453742956,2.459713036895941,2.36618185385265,27.07,64.71,122.47,349.03,398.73
A000880,한화,9,2.008019503867229,3.8650195484098178,0.15101945932464023,1.12,-5.47,-15.24,91.06,200.18
A476060,온코닉테라퓨틱스,10,1.9108083242424811,1.67699525833571,2.1446213901492523,-0.95,21.84,281.01,224.24,409.23
A437730,삼현,11,1.846790739318773,-0.19835592164372745,3.8919374002812734,26.59,153.18,311.98,445.54,440.25
A002230,피에스텍,12,1.8193339969566689,-0.10874145494416046,3.747409448857498,172.17,164.35,164.35,183.7,183.7
A100790,미래에셋벤처투자,13,1.77930092266819,1.9136765793523125,1.6449252659840672,43.81,62.75,97.82,205.05,185.2
A015760,한국전력,14,1.7772106612644252,3.211233549329555,0.34318777319929494,-8.64,30.99,29.35,111.36,137.73
A027360,아주IB투자,15,1.7087600615256902,2.5482217690555324,0.869298353995848,60.96,51.47,39.46,60.96,29.21
A092200,디아이씨,16,1.6898480167494758,-0.11256326384831941,3.492259297347271,50.21,236.32,217.35,272.74,269.91
A004310,현대약품,17,1.6146516736700018,-0.016110055721692315,3.245413403061696,147.95,133.85,160.81,186.39,150.35
A090710,휴림로봇,18,1.5964063765855931,-0.007607640731010973,3.2004203939021973,52.8,156.74,157.55,337.03,369.07
A327260,RF머트리얼즈,19,1.570269971568008,0.06356764694884659,3.0769722961871695,23.13,52.17,333.05,348.25,418.78
A124500,아이티센글로벌,20,1.4336836773996844,0.26973129064416584,2.597636064155203,48.57,67.65,24.55,410.64,498.85
A012450,한화에어로스페이스,21,1.3992684336502301,2.6439994060153724,0.15453746128508783,14.81,-13.76,15.51,36.85,164.29
A058610,에스피지,22,1.3578219582096016,-0.1731508581668527,2.888794774586056,28.02,206.3,202.93,280.23,190.69
A267250,HD현대,23,1.3140157669573544,2.2107182581863594,0.41731327572834964,-3.26,12.04,46.89,157.26,115.19
A001430,세아베스틸지주,24,1.2238401101195457,-0.12195745919881268,2.5696376794379043,101.8,119.65,79.74,230.77,187.55
A032940,원익,25,1.222932511500886,-0.11606560127033519,2.561930624272107,91.24,87.07,59.33,296.83,286.24
A089970,브이엠,26,1.186422118516083,0.5187110117005833,1.8541332253315828,22.0,52.73,154.59,190.48,335.71
A368770,파이버프로,27,1.1242340388238792,0.10508066207807382,2.1433874155696846,87.68,117.32,109.49,107.12,148.06
A240810,원익IPS,28,1.0144918061727097,0.004137316144727628,2.0248462962006917,29.66,41.09,202.46,247.07,261.99
A080220,제주반도체,29,1.0060529576950452,0.3416723308401345,1.670433584549956,60.3,47.0,96.1,142.87,233.15
A161390,한국타이어앤테크놀로지,30,0.9835927632337095,1.8187230580022076,0.14846246846521147,-7.01,47.86,37.52,46.91,49.41
A298040,효성중공업,31,0.9793129291222162,0.31753617790183,1.6410896803426025,-0.86,30.67,96.69,327.58,353.87
A249420,일동제약,32,0.9489609121637212,-0.16390522647251474,2.061827050799957,37.23,42.28,205.45,244.92,236.23
A007660,이수페타시스,33,0.8875890463280809,0.029535967828185287,1.7456421248279765,-11.7,58.2,147.2,272.13,355.12
A307950,현대오토에버,34,0.8755111674431286,-0.019961808340224776,1.7709841432264821,41.97,116.24,94.09,177.64,145.56
A353200,대덕전자,35,0.7668878697291117,-0.04637902559142426,1.5801547650496477,0.95,56.19,181.07,226.19,211.57
A089890,코세스,36,0.7616247501025384,0.03268618289745398,1.4905633173076227,-11.58,26.8,220.28,233.82,232.85
A448900,한국피아이엠,37,0.7592187590029178,-0.11705204456650398,1.6354895625723396,-19.38,94.72,259.58,220.5,99.61
A196170,알테오젠,38,0.7330528011472599,1.7872667772630915,-0.32116117496857177,-12.28,-3.08,16.43,25.9,52.33
A039860,나노엔텍,39,0.726692089877981,-0.15725074477886125,1.6106349245348233,92.05,71.59,73.07,88.75,83.31
A099320,쎄트렉아이,40,0.6916071954558606,-0.09649136907606128,1.4797057599877825,87.97,29.88,90.38,102.73,108.67
A278470,에이피알,41,0.6910226219835953,0.3100542311372302,1.0719910128299603,-5.86,-8.63,58.94,262.36,355.97
A009540,HD한국조선해양,42,0.6512627851322017,1.364436791650228,-0.06191122138582461,-4.72,-4.61,14.39,92.89,70.35
A095610,테스,43,0.6426915845237505,-0.06489785662052447,1.3502810256680255,30.39,16.16,113.23,174.09,246.35
A356860,티엘비,44,0.626487935055135,-0.016667197484907973,1.269643067595178,-11.56,-11.43,164.72,217.86,348.93
A105840,우진,45,0.6183522009122315,0.46999752928263816,0.7667068725418249,10.85,15.39,69.33,155.13,165.79
A171090,선익시스템,46,0.6126963819682576,1.2663209793498824,-0.04092821541336733,-1.49,14.97,49.72,33.67,15.47
A010120,LS ELECTRIC,47,0.5854875538544924,0.02984652922656994,1.1411285784824148,4.23,69.83,73.42,187.17,184.03
A033530,SJG세종,48,0.5773300670163822,-0.10795106328085677,1.2626111973136211,13.99,65.34,123.06,150.91,159.4
A038500,삼표시멘트,49,0.5523674158461678,-0.20564028082271782,1.3103751125150533,73.49,65.63,64.34,74.92,79.05
A277810,레인보우로보틱스,50,0.5522129901392157,0.2719731792712952,0.8324528010071361,11.02,60.49,79.78,85.53,133.33
A083650,비에이치아이,51,0.5457549723615062,0.16758529251336052,0.9239246522096518,12.37,9.56,35.48,212.76,243.77
A006800,미래에셋증권,52,0.5293446346301695,0.3694883341994524,0.6892009350608865,13.33,13.59,15.73,163.64,206.97
A220260,켐트로스,53,0.5243316399588838,-0.16310166281460586,1.2117649427323733,44.02,97.27,68.25,95.57,59.96
A039490,키움증권,54,0.5236144681134345,0.4075738382645508,0.6396550979623181,8.45,19.17,35.2,154.22,168.24
A032830,삼성생명,55,0.5087790695253692,0.9758103345361695,0.04174780451456886,0.58,-1.76,22.68,93.2,70.82
A204320,HL만도,56,0.5080259568470386,-0.04953593274754055,1.0655878464416177,28.74,92.64,92.92,77.48,54.98
A005380,현대차,57,0.49511881100144767,0.7012887831801817,0.2889488388227136,12.22,35.68,39.81,55.63,41.13
