Symbol,Name,거래소(시장),FnGuide Sector,FnGuide Industry Group,FnGuide Industry,한국표준산업분류11차(대분류),한국표준산업분류11차(중분류),한국표준산업분류11차(소분류),신용등급 (채권),신용등급 (CP),최대주주등 주주명-상장협(분기)
A005930,삼성전자,유가증권시장,IT,하드웨어,휴대폰 및 관련부품,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",통신 및 방송 장비 제조업,,,이건희외 10인
A000660,SK하이닉스,유가증권시장,IT,반도체,반도체 및 관련장비,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",반도체 제조업,AA,A1,에스케이텔레콤(주)외 4인
A005380,현대차,유가증권시장,경기소비재,자동차 및 부품,자동차,제조업,자동차 및 트레일러 제조업,자동차용 엔진 및 자동차 제조업,AAA,NA,현대모비스외 6인
A034020,두산에너빌리티,유가증권시장,에너지,에너지,에너지 시설 및 서비스,제조업,기타 기계 및 장비 제조업,일반 목적용 기계 제조업,BBB+,A3+,(주)두산외 16인
A012450,한화에어로스페이스,유가증권시장,산업재,상업서비스,상업서비스,제조업,기타 운송장비 제조업,"항공기, 우주선 및 부품 제조업",AA,A1,삼성전자외 6인
A000270,기아,유가증권시장,경기소비재,자동차 및 부품,자동차,제조업,자동차 및 트레일러 제조업,자동차용 엔진 및 자동차 제조업,AAA,NA,현대자동차외 3인
A105560,KB금융,유가증권시장,금융,은행,상업은행,금융 및 보험업,금융업,기타 금융업,AAA,A1,국민연금공단
A068270,셀트리온,유가증권시장,의료,제약 및 바이오,바이오,제조업,의료용 물질 및 의약품 제조업,기초 의약 물질 제조업,NA,A1,㈜셀트리온홀딩스외 42인
A035420,NAVER,유가증권시장,IT,소프트웨어,인터넷 서비스,정보통신업,정보서비스업,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",AA+,NA,국민연금공단
A055550,신한지주,유가증권시장,금융,은행,상업은행,금융 및 보험업,금융업,기타 금융업,AAA,A1,국민연금공단
A042660,한화오션,유가증권시장,산업재,자본재,조선,제조업,기타 운송장비 제조업,선박 및 보트 건조업,A-,A2-,한국산업은행외 2인
A012330,현대모비스,유가증권시장,경기소비재,자동차 및 부품,자동차부품,제조업,자동차 및 트레일러 제조업,자동차 신품 부품 제조업,AA+,NA,기아자동차외 4인
